"Quanto tempo você demora em média para chegar no colégio?","Qual o meio de transporte  que você mais usa?","Quais matérias você mais gosta?","Quais exercícios físicos você mais se identifica?","Você gosta de videogames, se sim quais você mais joga/se identifica?"
"30min","Carro","Matemática;Filosofia","Futebol;Natação","Dota2"
"15min","Carro","Português;História","Vôlei;Basquete","LoL;Counter-strike"
"15min","a pé","Matemática;Português;Química;Geografia;Filosofia","Vôlei;Bicileta;Natação;Parkour",""
"30min","Ônibus","Biologia;Química","Corrida","Fortnite"
